visitor_zip,visitorzip_lat,visitorzip_lon,qpartysize25,qpartysize50,qpartysize75,qleadt25,qleadt50,qleadt75,qdur25,qdur50,qdur75,qdist25,qdist50,qdist75,res_count,sum_dur,sum_persnight
48734,43.353894,-83.741041,2,3,5,0,12,97.8,1,2,5,243.08,545.12,1813.32,119,563,1647
48735,43.657136,-83.276386,1,1,2,-1,0,21,1.5,2,4,577.25,1302.09,2167.95,4,11,15
48737,44.543368,-83.699953,2.25,6,10,3,23,144,2,4,5,13.45,13.45,13.45,99,447,3100
48738,44.553899,-83.34147,1.75,3,6,0,3,64.2,1.8,2,4,26.04,26.04,1165.66,81,250,1166
48739,44.39344,-83.816418,2,4,8,2.25,31,159.8,2,3,4,16.02,16.02,16.02,315,1071,6257
48740,44.682052,-83.397822,1,4,6,0.25,38,140.5,2,3,5.7,32.78,32.78,32.78,87,337,1682
48741,43.398864,-83.19471,1,2,3,0,0,89,1,1,2,860.04,1022.68,2397.37,22,33,116
48742,44.720906,-83.43355,1,2,3,0,3,25.2,1,2,4,35.16,736.73,1718.44,65,221,556
48743,44.440101,-83.877519,2,3.5,5,2,30.5,59,2,3.5,5,20.2,309.57,598.94,2,7,20
48744,43.351882,-83.36009,2,3,5,0,10.5,62,1,2,3,122.23,195.02,1102.17,38,96,420
48745,44.555042,-83.488174,1,6,10,6,52,156.8,2,3,4,17.14,17.14,17.14,103,354,2207
48746,43.279341,-83.554006,2,3,6,0,13,69,1,2,4,128.56,520.4,1085.07,87,241,939
48747,43.529278,-83.758225,2,2,3,3,23.5,151,2,3,5,101.24,230.12,1103.04,14,64,154
