,B06009_001E,B06009_002E,B06009_003E,B06009_004E,B06009_005E,B06009_006E,B14005_001E,B14005_002E,B14005_003E,B14005_004E,B14005_005E,B14005_006E,B14005_007E,B14005_008E,B14005_009E,B14005_010E,B14005_011E,B14005_012E,B14005_013E,B14005_014E,B14005_015E,B14005_016E,B14005_017E,B14005_018E,B14005_019E,B14005_020E,B14005_021E,B14005_022E,B14005_023E,B14005_024E,B14005_025E,B14005_026E,B14005_027E,B14005_028E,B14005_029E,zip code tabulation area
26165,3741,522,1380,1329,326,184,316,136,136,3,0,133,0,0,0,0,0,0,0,0,0,180,134,28,0,106,46,46,35,0,11,0,0,0,0,75755
26166,2627,325,803,1160,279,60,161,94,77,14,19,44,17,17,17,0,0,0,0,0,0,67,63,31,14,18,4,0,0,0,0,4,0,0,4,75756
26167,7093,953,2157,2162,1304,517,562,223,181,34,20,127,42,13,3,0,10,29,12,0,17,339,286,111,40,135,53,53,9,0,44,0,0,0,0,75757
26168,5950,708,1823,2040,992,387,440,331,259,23,12,224,72,40,0,0,40,32,0,0,32,109,79,25,6,48,30,0,0,0,0,30,0,0,30,75758
26169,97,15,54,24,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,7,0,0,0,0,0,0,0,0,0,75759
26170,1570,271,551,498,203,47,140,65,60,11,3,46,5,5,5,0,0,0,0,0,0,75,63,3,0,60,12,5,4,1,0,7,0,0,7,75760
26171,9146,603,2175,3155,2430,783,525,301,213,103,11,99,88,76,44,0,32,12,0,12,0,224,158,61,14,83,66,66,54,0,12,0,0,0,0,75762
26172,4736,992,1645,1456,422,221,267,174,135,40,36,59,39,19,10,0,9,20,20,0,0,93,83,14,0,69,10,10,10,0,0,0,0,0,0,75763
26173,85,20,33,20,6,6,6,4,2,0,0,2,2,0,0,0,0,2,0,0,2,2,0,0,0,0,2,2,0,0,2,0,0,0,0,75764
26174,5466,521,1733,1961,908,343,605,284,200,72,7,121,84,75,62,13,0,9,0,0,9,321,310,57,15,238,11,6,2,0,4,5,0,0,5,75765
